COC(=O)O	000	methyl hydrogen carbonate
CN1C2=C(C(=O)N(C1=O)C)N=C(C(=O)N2)C=O	B59	1,3-dimethyl-2,4,7-trioxo-1,2,3,4,7,8-hexahydropteridine-6-carbaldehyde
c1c2c(ncnc2n(n1)CC3CCNCC3)N	B5A	1-(piperidin-4-ylmethyl)-1h-pyrazolo[3,4-d]pyrimidin-4-amine
CC(C)Cc1c(ncn1CCCn2ccnc2)c3ccccc3	B5B	1-(3-imidazol-1-ylpropyl)-5-(2-methylpropyl)-4-phenyl-imidazole
CC(=O)Oc1ccc2c(c1)SC(=O)O2	B5C	2-oxo-2h-1,3-benzoxathiol-5-yl acetate
CC1Nc2ccc(cc2S(=O)(=O)N1)Cl	B5D	(3s)-7-chloro-3-methyl-3,4-dihydro-2h-1,2,4-benzothiadiazine 1,1-dioxide
CCc1ccccc1c2ccc(cc2C(F)(F)F)CNCCc3[nH]c4ccccc4n3	B5E	2-(1~{h}-benzimidazol-2-yl)-~{n}-[[4-(2-ethylphenyl)-3-(trifluoromethyl)phenyl]methyl]ethanamine
c1c(cc(cc1OP(=O)(O)O)OP(=O)(O)O)c2c(cc(cc2OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O	B5F	biphenyl 2,3',4,5',6-pentakisphosphate
CN1CCc2c(sc(n2)NC(=O)c3cccc(c3)C4CCCN4C(=O)Nc5cccc(c5)C#N)C1	B5G	(2r)-n-(3-cyanophenyl)-2-{3-[(5-methyl-4,5,6,7-tetrahydro[1,3]thiazolo[5,4-c]pyridin-2-yl)carbamoyl]phenyl}pyrrolidine-1-carboxamide
c1cc(cc(c1)Br)C=C2C(=O)NC(=O)N2	B5H	(5z)-5-[(3-bromophenyl)methylidene]imidazolidine-2,4-dione
CC(C)(C)NC(=O)C(c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3cc(c(c(c3)F)F)F)C=O	B5K	3-[(1~{r})-2-(~{tert}-butylamino)-1-[methanoyl-[[3,4,5-tris(fluoranyl)phenyl]methyl]amino]-2-oxidanylidene-ethyl]-6-chloranyl-1~{h}-indole-2-carboxylic acid
C(CC[N+](CCC[NH3+])(CCC[NH3+])CCC[NH3+])C[NH3+]	B5L	n~1~,n~1~,n~1~-tris(3-azaniumylpropyl)butane-1,4-diaminium
Cc1cccc(c1C(=O)OP(=O)(O)OCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O)O	B5M	9-(5-o-{(s)-hydroxy[(2-hydroxy-6-methylbenzene-1-carbonyl)oxy]phosphoryl}-alpha-l-lyxofuranosyl)-9h-purin-6-amine
Cc1ccccc1C(=O)N2CCN(CC2)Cc3ccc(cc3)F	B5N	[4-[(4-fluorophenyl)methyl]piperazin-1-yl]-(2-methylphenyl)methanone
CC(C)C1Cc2c(nnn2c3cc(c(c(c3)F)c4cc(ccc4F)CO)F)C(=O)C1	B5O	(6r)-1-[3,5-bis(fluoranyl)-4-[2-fluoranyl-5-(hydroxymethyl)phenyl]phenyl]-6-propan-2-yl-6,7-dihydro-5h-benzotriazol-4-one
CC(C)CCN1c2nccn2C(=C(C1=O)C3=NS(=O)(=O)c4cc(ccc4N3)NS(=O)(=O)C)O	B5P	n-{3-[5-hydroxy-8-(3-methylbutyl)-7-oxo-7,8-dihydroimidazo[1,2-a]pyrimidin-6-yl]-1,1-dioxido-4h-1,2,4-benzothiadiazin-7-yl}methanesulfonamide
CNCc1ccccc1c2ccc3c(c2)c(nc(n3)N)C(=O)N4Cc5ccccc5C4	B5Q	[2-azanyl-6-[2-(methylaminomethyl)phenyl]quinazolin-4-yl]-(1,3-dihydroisoindol-2-yl)methanone
CC(COc1ccc(c(c1)F)Cl)(C(=O)Nc2ccc(c(c2)C(F)(F)F)C#N)O	B5R	(2s)-3-(4-chloro-3-fluorophenoxy)-n-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide
COc1cc(cc(c1)O)Nc2ccc(c(c2)OCCC[NH3+])C(=O)Nc3ccccc3	B5S	3-{5-[(3-hydroxy-5-methoxyphenyl)amino]-2-(phenylcarbamoyl)phenoxy}propan-1-aminium
c1cc(cnc1)c2c[nH]c3c2cc(cn3)c4ccc(cc4)S(=O)(=O)N	B5T	4-(3-pyridin-3-yl-1~{h}-pyrrolo[2,3-b]pyridin-5-yl)benzenesulfonamide
Cc1ccc(cc1C)c2cnc(c(n2)C(=O)N)Nc3ccc(cc3)OCCCN4CCN(CC4)C	B5U	6-(3,4-dimethylphenyl)-3-[[4-[3-(4-methylpiperazin-1-yl)propoxy]phenyl]amino]pyrazine-2-carboxamide
c1ccc(c(c1)C(=O)OP(=O)(O)OCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O)O	B5V	9-(5-o-{(s)-hydroxy[(2-hydroxybenzene-1-carbonyl)oxy]phosphoryl}-alpha-l-lyxofuranosyl)-9h-purin-6-amine
c1ccc(cc1)CCC[NH2+]Cc2ccc(c(c2)Cl)c3ccccc3	B5W	(3-chloranyl-4-phenyl-phenyl)methyl-(3-phenylpropyl)azanium
CC(C)C1Cc2c(nnn2c3cc(c(c(c3)F)c4cccc(c4)N(C)C)F)C(=O)C1	B5X	(6r)-1-[4-[3-(dimethylamino)phenyl]-3,5-bis(fluoranyl)phenyl]-6-propan-2-yl-6,7-dihydro-5h-benzotriazol-4-one
Cc1ccc(c(c1)C(=O)OP(=O)(O)OCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O)O	B5Y	9-(5-o-{(s)-hydroxy[(2-hydroxy-5-methylbenzene-1-carbonyl)oxy]phosphoryl}-alpha-l-lyxofuranosyl)-9h-purin-6-amine
c1cc(cc(c1)NC(=O)NCCN2CCOCC2)c3ccc4c(n3)sc(n4)NC(=O)C5CC5	B5Z	~{n}-[5-[3-(2-morpholin-4-ylethylcarbamoylamino)phenyl]-[1,3]thiazolo[5,4-b]pyridin-2-yl]cyclopropanecarboxamide
CN1CC=NC2=C1N=C(NC2=O)N	B60	2-amino-8-methyl-7,8-dihydropteridin-4(3h)-one
CC(C)(CC1=NC2=C(N=C(NC2=O)N)N(C1)C)O	B61	2-amino-6-(2-hydroxy-2-methylpropyl)-8-methyl-7,8-dihydropteridin-4(3h)-one
CC1CNC2=C(N1)C(=O)NC(=N2)N	B62	(6r)-2-amino-6-methyl-5,6,7,8-tetrahydropteridin-4(3h)-one
c1cc(ccc1C(=O)O)NCCC2=NC3=C(NC2)N=C(NC3=O)N	B63	4-{[2-(2-amino-4-oxo-3,4,7,8-tetrahydropteridin-6-yl)ethyl]amino}benzoic acid
COC(=O)c1c(cc(s1)c2cccs2)NC(=O)C=CC(=O)O	B64	4-{[2-(methoxycarbonyl)-5-(2-thienyl)-3-thienyl]amino}-4-oxo-2-butenoic acid
c1ccc(cc1)Oc2cccc(c2)CCCC(P(=O)(O)O)S(=O)(=O)O	B65	(1r)-4-(3-phenoxyphenyl)-1-phosphonobutane-1-sulfonic acid
CC(COc1ccc(cc1)[N+](=O)[O-])(C(Nc2ccc(c(c2)C(F)(F)F)C#N)O)O	B66	4-{[(1r,2s)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile
CC(COc1c(c(c(c(c1F)F)F)F)F)(C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])O	B67	(2s)-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide
CC(=O)Nc1ccc(cc1)OCC(C)(C(=O)Nc2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])O	B68	(2s)-3-[4-(acetylamino)phenoxy]-2-hydroxy-2-methyl-n-[4-nitro-3-(trifluoromethyl)phenyl]propanamide
CCCCc1ccc(cc1)c2ccc(cc2)CCCC(P(=O)(O[K])O[K])S(=O)(=O)O[K]	B69	tripotassium (1r)-4-(4'-butylbiphenyl-4-yl)-1-phosphonatobutane-1-sulfonate
c1ccc(cc1)C(=O)c2ccc3c(c2)n(c(n3)N)CC4CCNCC4	B6A	[2-amino-1-(piperidin-4-ylmethyl)-1h-benzimidazol-6-yl](phenyl)methanone
COc1ccc(cc1c2cnc(c(n2)C(=O)c3cccnc3)N)N	B6B	[3-azanyl-6-(5-azanyl-2-methoxy-phenyl)pyrazin-2-yl]-pyridin-3-yl-methanone
CC1C(C(C(C(O1)O)NC(=O)C)O)NC(=O)C	B6D	2,4-bisacetamido-2,4,6-trideoxy-beta-d-glucopyranose
c1cc(oc1)C(=O)Nc2[nH]c3ccc(cc3n2)Oc4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F	B6E	~{n}-[5-[4-[[2-fluoranyl-5-(trifluoromethyl)phenyl]carbamoylamino]phenoxy]-1~{h}-benzimidazol-2-yl]furan-2-carboxamide
C1C2C(C(S1)CCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)C34C5=C6[Fe]5378913(C6=C74)C4C8=C9C1=C34)NC(=O)N2	B6F	[(1,2,3,4,5-eta)-cyclopentadienyl][(1,2,3,4,5-eta)-{6-[(6-{[5-(2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl)pentanoyl]amino}hexanoyl)amino]hexanoyl}cyclopentadienyl]iron
CC(C)C(C(=O)OP(=O)(O)OC1C(C(C(O1)n2cnc3c2ncnc3N)O)O)N	B6G	(2s)-2-amino-3-methylbutanoyl (2s,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-3,4-dihydroxyoxolan-2-yl hydrogen (s)-phosphate
CCC(=O)Nc1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3OC)N4CCN(CC4)C)N	B6H	~{n}-[4-[[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide
c1cc(cc(c1)O)c2c(nc3c(n2)c(nc(n3)N)N)c4cccc(c4)O	B6J	3,3'-(2,4-diaminopteridine-6,7-diyl)diphenol
c1c(cc(c(c1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)c2cc(c(c(c2)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O	B6K	biphenyl 3,3',4,4',5,5'-hexakisphosphate
CCS(=O)(=O)c1ccc(cc1)CC(=O)Nc2ccc(cc2)c3ccc(cc3F)C(C(F)(F)F)(C(F)(F)F)O	B6L	2-[4-(ethylsulfonyl)phenyl]-n-[2'-fluoro-4'-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)[1,1'-biphenyl]-4-yl]acetamide
C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N	B6M	(1r,2s,3s,4r,6r)-4,6-diamino-2-{[3-o-(2,6-diamino-2,6-dideoxy-alpha-l-altropyranosyl)-beta-l-arabinofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-d-allopyranoside
c1cc2c(cc1c3c[nH]nc3)c4c(cn2)C=CC(=O)N4c5ccc(cc5C(F)(F)F)F	B6N	1-[4-fluoranyl-2-(trifluoromethyl)phenyl]-9-(1~{h}-pyrazol-4-yl)benzo[h][1,6]naphthyridin-2-one
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)N	B6P	p1,p6-di(adenosine-5') hexaphosphate
CCC(=O)Nc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)N4CCN(CC4)C)N	B6Q	~{n}-[3-[[4-azanyl-2-[[4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]carbonyl]phenyl]propanamide
c1cc2c(cc1S(=O)(=O)O)scn2	B6S	1,3-benzothiazole-6-sulfonic acid
CC(C)c1c(c2ncc(n2nc1c3ccccc3)C#N)O	B6T	8-oxidanyl-6-phenyl-7-propan-2-yl-imidazo[1,2-b]pyridazine-3-carbonitrile
CC(C)C1=C(Nc2c(cnn2C1=O)C#N)c3cnn(c3)CCNC(=O)CCl	B6W	2-chloranyl-~{n}-[2-[4-(3-cyano-7-oxidanylidene-6-propan-2-yl-4~{h}-pyrazolo[1,5-a]pyrimidin-5-yl)pyrazol-1-yl]ethyl]ethanamide
CCCCCCC(CC(=O)O)SCC(=O)O	B6X	(3r)-3-[(carboxymethyl)sulfanyl]nonanoic acid
CCC1(CCN(CC1)C(=O)OC(C)(C)C)OC(=O)NC(CC(C)C)C(=O)NC(CC2CCNC2=O)C(O)S(=O)(=O)O	B6Y	(1r,2s)-2-{[n-({[1-(tert-butoxycarbonyl)-4-ethylpiperidin-4-yl]oxy}carbonyl)-l-leucyl]amino}-1-hydroxy-3-[(3s)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid
CN1CCN(CC1)c2ccc(c(c2)OC)Nc3nc(c(s3)C(=O)c4ccccc4)N	B6Z	[4-azanyl-2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-1,3-thiazol-5-yl]-phenyl-methanone
c1ccc(cc1)c2ccc(cc2)CCCC(P(=O)(O[K])O[K])S(=O)(=O)O[K]	B70	tripotassium (1r)-4-biphenyl-4-yl-1-phosphonatobutane-1-sulfonate
CCCCCCCCCCOc1ccc[n+](c1)CC(P(=O)(O)O)P(=O)(O)O	B71	3-(decyloxy)-1-(2,2-diphosphonoethyl)pyridinium
Cc1cc(cc(c1Cc2ccc(c(c2)C(C)C)O)C)OCC(=O)O	B72	{4-[4-hydroxy-3-(1-methylethyl)benzyl]-3,5-dimethylphenoxy}acetic acid
CCCCCCCCCCCCn1cc[n+](c1)CC(P(=O)(O)O)P(=O)(O)O	B73	3-(2,2-diphosphonoethyl)-1-dodecyl-1h-imidazol-3-ium
Cc1cccc(c1)CO	B74	(3-methylphenyl)methanol
c1ccc2cc(ccc2c1)S(=O)(=O)Nc3cccc(c3)c4cccc(c4)CC(O)(P(=O)(O)O)P(=O)(O)O	B75	1-hydroxy-2-[3'-(naphthalene-2-sulfonylamino)-biphenyl-3-yl]ethylidene-1,1-bisphosphonic acid
c1ccc(cc1)c2cccc(c2)c3cccc(c3)OCC(O)(P(=O)(O)O)P(=O)(O)O	B76	[1-hydroxy-2-(1,1':3',1''-terphenyl-3-yloxy)ethane-1,1-diyl]bis(phosphonic acid)
Cc1ccc(c(c1)OCc2ccccn2)OC	B77	2-[(2-methoxy-5-methylphenoxy)methyl]pyridine
Cc1ccc(cc1OCc2ccncc2)OC	B78	4-[(5-methoxy-2-methylphenoxy)methyl]pyridine
C1C(C(OC1N2C=C(C(=O)NC2=O)C=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	B7A	2'-deoxy-5-formyluridine 5'-(tetrahydrogen triphosphate)
CN1c2cnc(nc2N(C3CCCC3C1=O)C4CCCC4)Nc5ccc(cc5)C(=O)N	B7B	4-[[(3~{r},7~{s})-2-cyclopentyl-9-methyl-8-oxidanylidene-2,9,12,14-tetrazatricyclo[8.4.0.0^{3,7}]tetradeca-1(14),10,12-trien-13-yl]amino]benzamide
C1C=CC2=CN(C(=O)N=C2N1)C3CC(C(O3)COP(=O)(O)O)O	B7C	3-(2-deoxy-5-o-phosphono-beta-d-erythro-pentofuranosyl)-7,8-dihydropyrido[2,3-d]pyrimidin-2(3h)-one
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl	B7D	(3r)-6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide
CC1CC2(CCC1OC)Cc3ccc(cc3C24COC(=N4)N)c5cncnc5	B7E	compound 28
CCCCCCCOC1C(C(C(C(O1)CO)O)O)O	B7G	heptyl beta-d-glucopyranoside
Cc1c(n[nH]c1c2cc3c(c(c2)F)NC(=O)C3(C)C)C#N	B7H	5-(7-fluoranyl-3,3-dimethyl-2-oxidanylidene-1h-indol-5-yl)-4-methyl-1h-pyrazole-3-carbonitrile
c1cc(ccc1c2[nH]ccn2)OCCCCCCCOc3ccc(cc3)c4[nH]ccn4	B7I	2,2'-[heptane-1,7-diylbis(oxybenzene-4,1-diyl)]bis(1h-imidazole)
C1C(C(OC1N2C=C(C(=NC2=O)N)C=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	B7J	2'-deoxy-5-formylcytidine 5'-(tetrahydrogen triphosphate)
CC(C)C1C(=Nc2c(cnn2C1=O)C#N)c3cnn(c3)C4CCN(CC4)C(=O)C=C	B7K	7-oxidanylidene-6-propan-2-yl-5-[1-(1-prop-2-enoylpiperidin-4-yl)pyrazol-4-yl]-6~{h}-pyrazolo[1,5-a]pyrimidine-3-carbonitrile
CCCC=CC=CCCCCCCCCC=O	B7M	(10e,12z)-hexadeca-10,12-dienal
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCC=CCCCCCCCC	B7N	(1r)-2-{[(s)-hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl]oxy}-1-[(octadecanoyloxy)methyl]ethyl (9z)-octadec-9-enoate
CC(C)(C)c1ccc(cc1)C(=O)Nc2ccc(cc2)NC(=O)c3ccc4c(c3)OCCO4	B7O	~{n}-[4-[(4-~{tert}-butylphenyl)carbonylamino]phenyl]-2,3-dihydro-1,4-benzodioxine-6-carboxamide
C1C(C(OC1N2C=C(C(=O)NC2=O)F)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	B7P	2'-deoxy-5-fluorouridine 5'-(tetrahydrogen triphosphate)
CC(C)C1=C(Nc2c(cnn2C1=O)C#N)c3cnn(c3)C4CCN(CC4)C(=O)CCl	B7Q	5-[1-[1-(2-chloranylethanoyl)piperidin-4-yl]pyrazol-4-yl]-7-oxidanylidene-6-propan-2-yl-4~{h}-pyrazolo[1,5-a]pyrimidine-3-carbonitrile
c1c(cc2c(c1O)C(=O)C=CO2)O	B7S	5,7-dihydroxy-4h-1-benzopyran-4-one
Cc1cc(cnc1)c2ccc3c(c2)C4(COC(=N4)N)C5(C3)CCC(CC5)OC	B7T	(1r,4r)-4-methoxy-6'-(5-methyl-3-pyridinyl)-3'h-dispiro[cyclohexane-1,2'-indene-1',4''-[1,3]oxazol]-2''-amine
CC(c1ccccc1)C(=O)NC(C)c2ccccc2	B7U	(2s)-2-phenyl-n-[(1r)-1-phenylethyl]propanamide
COc1cc(ccc1Cl)Nc2c(cn(n2)C3COCCC3C#N)C(=O)N	B7V	3-[(4-chloro-3-methoxyphenyl)amino]-1-[(3r,4s)-4-cyanooxan-3-yl]-1h-pyrazole-4-carboxamide
c1cc(cc(c1)N)c2cc3c(c[nH]c3nc2)c4cccnc4	B7W	3-(3-pyridin-3-yl-1~{h}-pyrrolo[2,3-b]pyridin-5-yl)aniline
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC(=O)O)O	B7X	(3r,5r,9r)-1-[(2r,3s,4r,5r)-5-(6-amino-9h-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]-3,5,9-trihydroxy-8,8-dimethyl-10,14,19,21-tetraoxo-2,4,6-trioxa-18-thia-11,15-diaza-3,5-diphosphatricosan-23-oic acid 3,5-dioxide (non-preferred name)
CCC(=O)N1CCN(CC1)CCc2cnn(c2)c3c4c(ccn3)C(=O)NC=N4	B7Z	8-[4-[2-(4-propanoylpiperazin-1-yl)ethyl]pyrazol-1-yl]-3~{h}-pyrido[3,4-d]pyrimidin-4-one
CCC1CC(=C(C(=O)N1Cc2ccc(cc2)F)C3=Nc4ccc(cc4S(=O)(=O)N3)NS(=O)(=O)C)O	B80	n-{3-[(6s)-6-ethyl-1-(4-fluorobenzyl)-4-hydroxy-2-oxo-1,2,5,6-tetrahydropyridin-3-yl]-1,1-dioxido-2h-1,2,4-benzothiadiazin-7-yl}methanesulfonamide
CC12CCC3C(C1CCC2O)CC=C4C3(CCC(C4)O)C	B81	(3alpha,8alpha,17beta)-androst-5-ene-3,17-diol
CCN(CC)S(=O)(=O)c1cc(ccc1Br)C(=O)Nc2ccccc2C(=O)O	B82	2-({[4-bromo-3-(diethylsulfamoyl)phenyl]carbonyl}amino)benzoic acid
CC1CC(CN(C1)c2ccc(cc2Oc3ccccc3)C(=O)Nc4ccccc4C(=O)O)C	B83	2-[({4-[(3r,5s)-3,5-dimethylpiperidin-1-yl]-3-phenoxyphenyl}carbonyl)amino]benzoic acid
CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(CC3CCCC3)C(=O)Nc4nc5ccc(nc5s4)OC	B84	(2r)-3-cyclopentyl-n-(5-methoxy[1,3]thiazolo[5,4-b]pyridin-2-yl)-2-{4-[(4-methylpiperazin-1-yl)sulfonyl]phenyl}propanamide
c1ccc(cc1)CP(=O)(O)O	B85	benzylphosphonic acid
C1C(C(OC1N2C=C(C(=NC2=O)N)F)CO)O	B86	2'-deoxy-5-fluorocytidine
c1ccc2c(c1)cc(s2)c3cc(ncn3)N4CCN(CC4)CC(=O)N5CCCC5	B87	4-(1-benzothiophen-2-yl)-6-[4-(2-oxo-2-pyrrolidin-1-ylethyl)piperazin-1-yl]pyrimidine
CC(N)P(=O)(CC(CC(=O)O)C(=O)O)O	B88	(2s)-2-{[(s)-[(1r)-1-aminoethyl](hydroxy)phosphoryl]methyl}butanedioic acid
CCC(=NOCC=CCl)C1=C(CC(CC1=O)C2CCOCC2)O	B89	(5s)-2-[(1e)-n-{[(2e)-3-chloroprop-2-en-1-yl]oxy}propanimidoyl]-3-hydroxy-5-(tetrahydro-2h-pyran-4-yl)cyclohex-2-en-1-one
B1234B567B189B212B33%10B454B656B787B911C232C4%105[Co]76121234B567B118B559B66%10B272B667B%1055B911B565C318C4752CCNS(=O)(=O)N	B8B	cobaltcarborane
Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3(N2)OC(=C(C(=O)O)O)C(=O)O)CC(C(C(COP(=O)(O)O)O)O)O	B8C	(~{e})-2-[[(4~{a}~{s})-7,8-dimethyl-2,4-bis(oxidanylidene)-10-[(2~{s},3~{s},4~{s})-2,3,4-tris(oxidanyl)-5-phosphonooxy-pentyl]-5~{h}-benzo[g]pteridin-4~{a}-yl]oxy]-3-oxidanyl-but-2-enedioic acid
COC1C(OC(C(C1O)O)O)CO	B8D	4-o-methyl-alpha-d-glucopyranose
Cc1c(nc(s1)c2ccccc2)CC(=O)OC	B8E	methyl 2-(5-methyl-2-phenyl-1,3-thiazol-4-yl)ethanoate
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C2C1C)C)C(=O)O	B8F	(5beta)-3-oxours-12-en-28-oic acid
CN1C=C(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	B8H	[(2~{r},3~{s},4~{r},5~{s})-5-[1-methyl-2,4-bis(oxidanylidene)pyrimidin-5-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate
CN1c2ccccc2N(C1=O)C3CCN(CC3)CCCn4c5c(c(n4)c6ccc(cc6)C(F)(F)F)CN(CC5)C(=O)c7cnc[nH]7	B8J	1-[1-(3-{5-(1h-imidazole-5-carbonyl)-3-[4-(trifluoromethyl)phenyl]-4,5,6,7-tetrahydro-1h-pyrazolo[4,3-c]pyridin-1-yl}propyl)piperidin-4-yl]-3-methyl-1,3-dihydro-2h-benzimidazol-2-one
CC(=O)N1CN(C2=C1C(=O)NC(=N2)N)C3C(C(C(O3)COP(=O)(O)O)O)O	B8K	7-acetyl, guanosine-5'-monophosphate
CCC(C)c1cc(ccc1O)C(=O)NC2CNCCCC2OC(=O)c3ccc(cc3)C(=O)c4cc(ccc4O)OC	B8L	3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate
CCCCCC=CC=CCCCCCCCO	B8M	(8e,10z)-hexadeca-8,10-dien-1-ol
CN1C=C(C(=O)N(C1=O)CCC(C(=O)O)N)C2C(C(C(O2)COP(=O)(O)O)O)O	B8N	(2~{r})-2-azanyl-4-[5-[(2~{s},3~{r},4~{s},5~{r})-3,4-bis(oxidanyl)-5-(phosphonooxymethyl)oxolan-2-yl]-3-methyl-2,6-bis(oxidanylidene)pyrimidin-1-yl]butanoic acid
CN1CC(CC(C1)NC2=Nc3cc[nH]c3C(=O)N2C)c4ccc5c(c4)OCCO5	B8O	2-{[(3r,5r)-5-(2,3-dihydro-1,4-benzodioxin-6-yl)-1-methylpiperidin-3-yl]amino}-3-methyl-3,5-dihydro-4h-pyrrolo[3,2-d]pyrimidin-4-one
c1ccc2c(c1)nc(c(n2)OCc3ccccn3)CCC(=O)O	B8P	3-{3-[(pyridin-2-yl)methoxy]quinoxalin-2-yl}propanoic acid
CN1C(C=CN(C1=O)C2C(C(C(O2)COP(=O)(O)O)O)O)N	B8Q	3-methyl, cytidine-5'-monophosphate
CN(C)C(=O)C(CCCCCCCC(C(=O)O)N)N	B8R	(2s,10r)-2,10-diamino-11-(dimethylamino)-11-oxoundecanoic acid
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C(=O)C(=CC=N4)c5ccc(c(c5)CNC(=O)c6ccc(cc6)F)Cl)Cl	B8S	n-{[2-chloro-5-(2-{3-[4-(6-chloro-3-methyl-2-oxo-2,3-dihydro-1h-benzimidazol-1-yl)piperidin-1-yl]propyl}-3-oxo-2,3-dihydropyridazin-4-yl)phenyl]methyl}-4-fluorobenzamide
CNC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)O)O)O	B8T	4-methyl, cytidine-5'-monophosphate
COc1ccccc1C2CCN(CC2)CC(Cn3c4c(c(n3)c5ccc(c(c5)SCCN6CCCCC6)C(F)(F)F)CNCC4)O	B8V	(2s)-1-[4-(2-methoxyphenyl)piperidin-1-yl]-3-{3-[3-{[2-(piperidin-1-yl)ethyl]sulfanyl}-4-(trifluoromethyl)phenyl]-4,5,6,7-tetrahydro-1h-pyrazolo[4,3-c]pyridin-1-yl}propan-2-ol
COc1c2c(nc(n1)N)n(cn2)C3C(C(C(O3)COP(=O)(O)O)O)O	B8W	6-methyl, guanosine-5'-monophosphate
CCCc1ccc(cc1C2CC2c3ccccn3)c4ccc(cc4)S(=O)(=O)CCO	B8X	2-[4-[4-propyl-3-[(1~{s},2~{r})-2-pyridin-2-ylcyclopropyl]phenyl]phenyl]sulfonylethanol
CN1c2ccc(cc2N(C1=O)C3CCN(CC3)CCCN4C=CN=C(C4=O)c5ccc(c(c5)CNC(=O)c6ccc(cc6)F)Cl)Cl	B8Y	n-{[2-chloro-5-(4-{3-[4-(6-chloro-3-methyl-2-oxo-2,3-dihydro-1h-benzimidazol-1-yl)piperidin-1-yl]propyl}-3-oxo-3,4-dihydropyrazin-2-yl)phenyl]methyl}-4-fluorobenzamide
Cc1ccc2c(c1C=Cn3cnc4c3ncnc4Nc5ccc(cc5)P(=O)(C)C)cn[nH]2	B90	n-[4-(dimethylphosphoryl)phenyl]-9-[(e)-2-(5-methyl-1h-indazol-4-yl)ethenyl]-9h-purin-6-amine
